File: DSP-1001660008440-E12, Raw: 17789435, Trimmed: 17747806, Stitched: 17654488, Aligned: 17296510
File: DSP-1001660008440-F01, Raw: 2444759, Trimmed: 2435877, Stitched: 2401337, Aligned: 2352912
File: DSP-1001660008440-F02, Raw: 312405, Trimmed: 307980, Stitched: 216831, Aligned: 207108
File: DSP-1001660008440-F03, Raw: 7679879, Trimmed: 7662192, Stitched: 7620254, Aligned: 7467583
File: DSP-1001660008440-F04, Raw: 7633054, Trimmed: 7607671, Stitched: 7551262, Aligned: 7400148
File: DSP-1001660008440-F05, Raw: 16357215, Trimmed: 16316326, Stitched: 16214964, Aligned: 15890150
File: DSP-1001660008440-F06, Raw: 16598180, Trimmed: 16556665, Stitched: 16478211, Aligned: 16148607
File: DSP-1001660008440-F07, Raw: 13021394, Trimmed: 12992073, Stitched: 12927340, Aligned: 12662230
File: DSP-1001660008440-F08, Raw: 9850671, Trimmed: 9826719, Stitched: 9770983, Aligned: 9575650
File: DSP-1001660008440-F09, Raw: 11441003, Trimmed: 11412969, Stitched: 11354177, Aligned: 11127949
File: DSP-1001660008440-F10, Raw: 16201009, Trimmed: 16165521, Stitched: 16082208, Aligned: 15763593
File: DSP-1001660008440-F11, Raw: 17349237, Trimmed: 17310196, Stitched: 17183767, Aligned: 16832041
File: DSP-1001660008440-F12, Raw: 16047303, Trimmed: 16010600, Stitched: 15925287, Aligned: 15604324
File: DSP-1001660008440-G01, Raw: 14163443, Trimmed: 14125621, Stitched: 14041706, Aligned: 13760421
